lot_number,service_number,name
1,1,Administrative and Public Law
1,2,Non-Complex Finance and Investment
1,3,Contracts
1,4,Competition Law
1,5,Corporate Law
1,6,Data Protection and Information Law
1,7,Employment
1,8,Information Technology
1,9,Infrastructure
1,10,Intellectual Property
1,11,Litigation and Dispute Resolution
1,12,Partnerships
1,13,Pensions
1,14,Public Procurement
1,15,"Property, Real Estate and Construction"
1,16,"Energy, Natural Resources and Climate Change"
1,17,Retained EU Law and EU Law
1,18,Planning
1,19,Projects
1,20,Restructuring and Insolvency
1,21,Education Law
1,22,Children and Vulnerable Adults
1,23,"Food, Rural and Environmental Affairs"
1,24,Franchise Law
1,25,"Health, Healthcare and Social Care"
1,26,Life Sciences
1,27,Telecommunications
1,28,"International Trade, Investment and Regulation"
1,29,Public International Law
1,30,Charities Law
1,31,Health and Safety
1,32,Licensing Law
1,33,Transport Law (excluding Rail)
1,34,Tax
1,35,Outsourcing / Insourcing
1,36,Islamic Finance / Sukuk
1,37,Media Law
1,38,Immigration
1,39,Public Inquests and Inquiries
1,40,Mental Health Law
2,1,Property and Construction
2,2,Social Housing
2,3,Child Law
2,4,Court of Protection
2,5,Education Law
2,6,Debt Recovery
2,7,Planning and Environment
2,8,Licensing
2,9,Pensions
2,10,Litigation / Dispute Resolution
2,11,Intellectual Property
2,12,Employment
2,13,Healthcare
2,14,Primary Care
2,15,Mental Health Law
3,1,Transport (Rail)
